ID,Price,Sqft,NumBeds,Garage,Pool,Lotsize,Highway
251,235000,2528,3,2,0,26469,0
252,247000,2030,4,3,0,23202,0
253,182000,2208,2,2,0,6734,0
254,180000,1500,2,0,0,39776,0
255,249000,2078,5,2,0,21512,0
256,260000,2442,4,2,0,21149,0
257,219900,2612,3,2,0,11288,0
258,295000,2268,4,3,0,23976,0
259,290000,2734,4,2,0,23488,0
260,300000,2228,4,2,0,21232,0
261,354900,3000,5,3,0,21643,0
262,261000,2404,5,3,1,17791,0
263,174500,1840,3,2,0,16356,0
264,244900,2107,3,2,0,30050,0
265,274900,2788,4,2,0,18960,0
266,214000,2416,3,2,0,15594,0
267,283000,2430,3,3,0,18164,0
268,177900,1584,3,2,0,13947,0
269,237500,1873,3,2,0,21998,0
270,202150,1644,4,2,0,19499,0
271,235000,2400,4,2,0,44347,0
272,217000,2094,4,2,0,18617,0
273,285000,2561,3,3,0,18985,0
274,217500,1752,3,2,0,24053,0
275,210000,1738,5,2,0,15206,0
276,183340,2068,3,3,0,24325,0
277,252000,2428,4,2,0,22727,0
278,237000,2090,4,2,0,22055,0
279,205000,1820,3,2,0,28023,0
280,285000,3219,4,2,0,28200,0
281,210000,2654,3,2,0,28882,0
282,280000,1802,4,2,0,27700,0
283,207000,1765,3,2,0,22983,0
284,221000,2786,4,2,0,22875,0
285,257000,1794,3,2,0,21691,0
286,274000,2768,3,2,0,26268,0
287,262000,2288,3,2,0,16975,0
288,204400,2028,3,2,0,26777,0
289,254900,2620,5,2,0,27989,0
290,244000,1644,3,2,0,32164,0
291,213000,1888,3,3,0,14757,0
292,240000,2116,4,2,0,22041,0
293,235000,2313,4,2,0,24705,0
294,206000,1824,4,2,0,14748,0
295,237000,1942,4,2,0,23105,0
296,274000,2184,4,2,0,19090,0
297,275000,2578,3,2,0,22299,0
298,218400,2036,4,2,0,21996,0
299,156000,1384,2,2,0,26706,0
300,220000,1826,4,2,0,19870,0
301,171500,1681,3,1,0,15985,0
302,180000,1726,3,2,0,26769,0
303,204000,1910,3,2,0,15423,0
304,307000,2664,4,2,0,22684,0
305,265000,2116,3,2,0,33344,0
306,209900,2030,3,2,0,21914,0
307,173000,1940,3,2,0,11610,0
308,189000,1676,3,2,0,21780,0
309,222500,2120,3,2,1,17883,0
310,265000,2152,4,2,0,26075,0
311,264670,1984,4,2,0,31204,0
312,200750,1575,3,2,0,25543,0
313,227900,1798,3,2,0,17820,0
314,255000,2017,3,1,0,86571,0
315,208500,1904,3,2,0,15559,0
316,226900,1718,3,2,0,49613,0
317,215000,1776,4,1,0,22839,0
318,222950,2609,4,2,0,26087,0
319,239900,2226,3,2,0,13520,0
320,176000,1556,2,3,0,15623,0
321,228000,1764,2,2,0,8105,0
322,204900,1626,3,2,1,15288,0
323,258000,2012,5,2,0,21303,0
324,241850,2090,4,2,0,22010,0
325,198500,2192,4,2,0,22851,0
326,243000,2228,4,2,0,21881,0
327,187000,1825,4,2,0,15810,0
328,233000,2132,4,2,0,17159,0
329,205000,2160,3,2,0,16555,0
330,205000,1974,3,2,0,26196,0
331,189000,1696,3,2,0,31851,0
332,204900,2132,3,2,0,23986,0
333,239000,1814,4,2,1,24698,0
334,193000,1796,3,2,0,29281,0
335,260000,2268,5,2,0,35240,0
336,188000,1719,2,2,0,22009,0
337,190500,1704,3,2,0,22583,0
338,230000,2142,3,2,0,22223,0
339,240000,1705,4,2,0,42322,0
340,235000,1752,4,2,0,39267,0
341,275000,2554,5,2,1,22381,0
342,205000,1650,3,2,0,27235,0
343,280000,2816,5,2,0,29109,0
344,190000,1919,3,2,0,20093,0
345,232500,2080,3,2,0,32021,0
346,259500,2108,4,2,0,24685,0
347,275000,2480,3,2,0,22144,0
348,183900,1746,3,2,0,52136,0
